 ,X,Y
1,2062,585
2,2233,636
3,1355,984
4,1274,853
5,1395,1121
6,1556,1151
7,1296,3174
8,1136,1276
9,889,1089
10,2688,2832
11,809,1261
12,740,444
13,709,1356
14,539,1083
15,1785,1062
16,1486,196
17,1749,1200
18,1957,1109
19,2275,1282
20,3232,1556
21,1969,1400
22,262,2766
23,1841,1404
24,66,2178
25,1681,1627
26,1196,240
27,1756,1775
28,1646,1915
29,2300,2504
30,1367,1966
31,1086,1875
32,1157,1939
33,1173,1593
34,144,1592
35,1321,1541
36,687,1738
37,780,1898
38,639,1867
39,1148,2547
40,1376,2452
41,1819,2666
42,1686,2395
43,2239,2001
44,2107,1880
45,2553,2053
46,1895,3088
47,1724.667,3225
48,2222,3823
49,2522,3671
50,2948,3093
51,3063,3118
52,3156,3944
53,3355,3932
54,4025,2912
55,1251,4190
56,695,3472
57,3039,4498
58,2580,8494
59,2900,5538.333
60,3669,4918
61,2392.667,5209.333
62,2127.333,6174.667
63,2538,4956
64,2720,5447
65,2579,5433
66,3165,5101
67,3303,5368
68,1569,5203
69,2797,5873
70,2925,6006
71,2494,6968
72,2284,7097
73,2455,7472
74,3074,7637
75,3068,7759
76,2524.333,5794.333
77,1370.667,5475
78,1828,6119
79,1574,6840
80,3904,9533
81,4099,8831
82,3112,8406
83,2869,8751
84,3573,6713
85,4028,6599
86,4395,6011
87,3590,7558
88,3608,7193
89,4004,3950
90,4247,4343
91,4437,4522
92,4075,7420
93,3429,4350
94,4424,5635
95,4537,5830
96,4135,8008
97,3018,1194
98,3567,2433
