 ,X,Y
1,1872,304
2,2231,1845
3,2203,2469
4,1869,2331
5,2955,386
6,2761,1142
7,2445,1562
8,1149,1420
9,1457,1458
10,999,842
11,3183,2122
12,3153,2672
13,3521,2694
14,3403,1442
15,3507,1858
16,4337,2188
17,3907,2338
18,4949,2054
19,3991,818
20,4050,1581
21,5606,2836
22,5672,3462
23,5797,3988
24,3135,3237
25,3696,3572
26,4515,2797
27,4557,5124
28,4416,4734
29,4933,3871
30,4235,4548
31,5658,5267
32,4946,4464
33,5283,5110
34,1790,3141
35,1417,3615
36,2346,4009
37,1047,3721
38,2079,4414
39,1717,4091
40,1857,4666
41,3141,4029
42,1640,5440
43,1233,5330
44,1031,4699
45,1513,4934
46,2780,5418
47,2504,4916
48,2774,4614
49,3354,4694
50,3306,5178
51,3736,5196
52,4840,6380
53,5038,5958
54,4464,5704
55,2902,6612
56,2896,6960
57,3582,6142
58,3208,6278
59,2150,6666
60,4143,7458
61,3414,6975
62,688,5714
63,608,6218
64,1162,6426
65,1066,6928
66,1036,7480
67,1660,7980
68,584,7546
69,359,7666
70,2364,7337
71,2464,7818
72,2314,8381
73,3449,8571
74,1665,9425
75,1437,9003
76,989,9259
77,557,8435
78,1128,8569
79,1481,8610
80,895,9795
81,1460,9830
82,1193,9949
83,1688,10227
84,1725,10490
85,1648,10835
86,1152,10573
87,5932,5892
88,5191,6612
89,2263,11159
90,2011,10886
91,2296,10145
92,753,10094
93,420,9293
94,2739,3609
95,3546,3885
96,2037,3489
97,3813,4515
98,4962,5793
99,2424,6861
100,819,6771
101,2469,5550
102,1944,5601
103,2616,6090
104,2799,7950
105,1935,9177
106,1326,8736
107,1764,8934
